metabolite,SampleID,flux,description
h2s_m,SRR19820319,1.00E-06,Hydrogen sulfide
so4_m,SRR19820319,2.110517015,sulfate
co2_m,SRR19820319,1.00E-06,carbon dioxide
tma_m,SRR19820319,1.00E-06,trimethylamine
mqn7_m,SRR19820319,2.847977511,Menaquinone 7
tmao_m,SRR19820319,3.350564809,Trimethylamine N-oxide
ppa_m,SRR19820319,1.00E-06,propionate
h2o_m,SRR19820319,1.06131097,Water
so3_m,SRR19820319,1.00E-06,Sulfite
tsul_m,SRR19820319,0.687213396,thiosulfate(2-)
pac_m,SRR19820319,1.00E-06,phenylacetate
4hbz_m,SRR19820319,1.00E-06,4-hydroxybenzoate
o2_m,SRR19820319,1.00E-06,O2
btd_RR_m,SRR19820319,1.00E-06,R_R__2_3_Butanediol
fuc_L_m,SRR19820319,0.201871026,L-fucose
phenol_m,SRR19820319,1.00E-06,Phenol
isobut_m,SRR19820319,1.00E-06,"Isobutyrate, 2-Methylpropanoate"
4hphac_m,SRR19820319,1.00E-06,4-hydroxyphenylacetate
cit_m,SRR19820319,1.00E-06,Citrate
4hoxpacd_m,SRR19820319,1.00E-06,(4-hydroxyphenyl)acetaldehyde
isocapr_m,SRR19820319,1.00E-06,Isocaproate
nac_m,SRR19820319,0.095244299,Nicotinate
2obut_m,SRR19820319,1.00E-06,2-Oxobutanoate
phpyr_m,SRR19820319,1.00E-06,keto-phenylpyruvate
glcn_m,SRR19820319,0.12106406,D-gluconate
ttdca_m,SRR19820319,1.00E-06,tetradecanoate (n-C14:0)
ribflv_m,SRR19820319,1.00E-06,Riboflavin
ch4s_m,SRR19820319,1.00E-06,Methanethiol
ocdca_m,SRR19820319,1.00E-06,octadecanoate (n-C18:0)
hdca_m,SRR19820319,0.049762831,Hexadecanoate (n-C16:0)
xan_m,SRR19820319,0.078310721,Xanthine
ppi_m,SRR19820319,0.00017476,Diphosphate
2hyoxplac_m,SRR19820319,1.00E-06,2-Hydroxyphenylacetate
isoval_m,SRR19820319,1.00E-06,"Isovalerate, 3-Methylbutanoate"
hxan_m,SRR19820319,1.00E-06,Hypoxanthine
thymd_m,SRR19820319,1.00E-06,Thymidine
apio_D_m,SRR19820319,1.00E-06,D-Apiose (rare sugar in rhamnogalacturonan II)
acerA_m,SRR19820319,1.00E-06,Aceric acid (3-C-carboxy-5-deoxy-l-xylose) (rare sugar in rhamnogalacturonan II)
kdo_m,SRR19820319,1.00E-06,3-Deoxy-D-manno-2-octulosonate
3ddlhept_m,SRR19820319,1.00E-06,3-deoxy-d-lyxo-heptulosaric acid (rare sugar in rhamnogalacturonan II)
2omfuc_m,SRR19820319,1.00E-06,2-o-methylfucose (rare sugar in rhamnogalacturonan II)
2omxyl_m,SRR19820319,1.00E-06,2-O-methylxylose (rare sugar in rhamnogalacturonan II)
h_m,SRR19820362,3.899553454,proton
mqn8_m,SRR19820362,1.589032588,Menaquinone 8
h2s_m,SRR19820362,1.00E-06,Hydrogen sulfide
so4_m,SRR19820362,1.562232153,sulfate
co2_m,SRR19820362,1.105556662,carbon dioxide
tma_m,SRR19820362,1.00E-06,trimethylamine
mqn7_m,SRR19820362,2.03641707,Menaquinone 7
tmao_m,SRR19820362,3.841574372,Trimethylamine N-oxide
ppa_m,SRR19820362,1.00E-06,propionate
h2o_m,SRR19820362,1.00E-06,Water
so3_m,SRR19820362,1.00E-06,Sulfite
tsul_m,SRR19820362,1.151581815,thiosulfate(2-)
pac_m,SRR19820362,1.00E-06,phenylacetate
4hbz_m,SRR19820362,1.00E-06,4-hydroxybenzoate
o2_m,SRR19820362,1.00E-06,O2
btd_RR_m,SRR19820362,1.00E-06,R_R__2_3_Butanediol
fuc_L_m,SRR19820362,1.00E-06,L-fucose
phenol_m,SRR19820362,1.00E-06,Phenol
isobut_m,SRR19820362,1.00E-06,"Isobutyrate, 2-Methylpropanoate"
4hphac_m,SRR19820362,1.00E-06,4-hydroxyphenylacetate
cit_m,SRR19820362,1.00E-06,Citrate
4hoxpacd_m,SRR19820362,1.00E-06,(4-hydroxyphenyl)acetaldehyde
isocapr_m,SRR19820362,1.00E-06,Isocaproate
nac_m,SRR19820362,0.098029447,Nicotinate
2obut_m,SRR19820362,1.00E-06,2-Oxobutanoate
phpyr_m,SRR19820362,1.00E-06,keto-phenylpyruvate
glcn_m,SRR19820362,0.158218194,D-gluconate
ttdca_m,SRR19820362,1.00E-06,tetradecanoate (n-C14:0)
ribflv_m,SRR19820362,0.000591078,Riboflavin
ch4s_m,SRR19820362,1.00E-06,Methanethiol
ocdca_m,SRR19820362,1.00E-06,octadecanoate (n-C18:0)
hdca_m,SRR19820362,1.00E-06,Hexadecanoate (n-C16:0)
xan_m,SRR19820362,1.00E-06,Xanthine
ppi_m,SRR19820362,0.038855496,Diphosphate
2hyoxplac_m,SRR19820362,1.00E-06,2-Hydroxyphenylacetate
isoval_m,SRR19820362,1.00E-06,"Isovalerate, 3-Methylbutanoate"
hxan_m,SRR19820362,1.00E-06,Hypoxanthine
thymd_m,SRR19820362,1.00E-06,Thymidine
apio_D_m,SRR19820362,1.00E-06,D-Apiose (rare sugar in rhamnogalacturonan II)
acerA_m,SRR19820362,1.00E-06,Aceric acid (3-C-carboxy-5-deoxy-l-xylose) (rare sugar in rhamnogalacturonan II)
kdo_m,SRR19820362,1.00E-06,3-Deoxy-D-manno-2-octulosonate
3ddlhept_m,SRR19820362,1.00E-06,3-deoxy-d-lyxo-heptulosaric acid (rare sugar in rhamnogalacturonan II)
2omfuc_m,SRR19820362,1.00E-06,2-o-methylfucose (rare sugar in rhamnogalacturonan II)
2omxyl_m,SRR19820362,1.00E-06,2-O-methylxylose (rare sugar in rhamnogalacturonan II)
h_m,SRR19820314,74.7620504,proton
mqn8_m,SRR19820314,0.638820654,Menaquinone 8
h2s_m,SRR19820314,1.00E-06,Hydrogen sulfide
so4_m,SRR19820314,2.774721451,sulfate
co2_m,SRR19820314,1.00E-06,carbon dioxide
tma_m,SRR19820314,1.00E-06,trimethylamine
mqn7_m,SRR19820314,0.743129658,Menaquinone 7
tmao_m,SRR19820314,3.747980614,Trimethylamine N-oxide
ppa_m,SRR19820314,1.00E-06,propionate
h2o_m,SRR19820314,4.089333549,Water
so3_m,SRR19820314,1.00E-06,Sulfite
tsul_m,SRR19820314,0.511485898,thiosulfate(2-)
pac_m,SRR19820314,1.00E-06,phenylacetate
4hbz_m,SRR19820314,1.00E-06,4-hydroxybenzoate
o2_m,SRR19820314,1.00E-06,O2
btd_RR_m,SRR19820314,1.00E-06,R_R__2_3_Butanediol
fuc_L_m,SRR19820314,1.00E-06,L-fucose
phenol_m,SRR19820314,1.00E-06,Phenol
isobut_m,SRR19820314,1.00E-06,"Isobutyrate, 2-Methylpropanoate"
4hphac_m,SRR19820314,1.00E-06,4-hydroxyphenylacetate
cit_m,SRR19820314,1.00E-06,Citrate
4hoxpacd_m,SRR19820314,1.00E-06,(4-hydroxyphenyl)acetaldehyde
isocapr_m,SRR19820314,1.00E-06,Isocaproate
nac_m,SRR19820314,0.09495269,Nicotinate
2obut_m,SRR19820314,1.00E-06,2-Oxobutanoate
phpyr_m,SRR19820314,1.00E-06,keto-phenylpyruvate
glcn_m,SRR19820314,1.00E-06,D-gluconate
ttdca_m,SRR19820314,0.150749695,tetradecanoate (n-C14:0)
ribflv_m,SRR19820314,0.021072713,Riboflavin
ch4s_m,SRR19820314,1.00E-06,Methanethiol
